source,target
Beep for warnings,Pitar para las advertencias
Beep when displaying a warning.,Pitar al mostrar una advertencia.
Drain from top,Vaciar desde arriba
Show the battery meter draining from the top of the battery. Only implemented for traditional battery view.,Mostrar el medidor de batería vaciándose desde la parte superior de la batería. Sólo implementado para la vista tradicional de la batería.
Upright (small) battery,Batería vertical (pequeña)
"Show the upright, smaller battery on the panel.","Mostrar la batería hacia arriba, más pequeña en el panel."
Show the horizontal battery,Muestra la batería horizontal
"Show the traditional, horizontal battery on the panel.",Mostrar la batería tradicional horizontal en el panel.
Show the time/percent label,Muestra la etiqueta de tiempo/porcentaje
"0 for no label, 1 for percentage and 2 for time remaining.","0 para ninguna etiqueta, 1 para porcentaje y 2 para tiempo restante.Warn when battery charge drops to: [XX] percent"
Percent,por cientoWarn when battery charge drops to: [XX] minutes remaining
Minutes Remaining,minutos restantes
Battery Status Utility,Utilidad de estado de la batería
Battery power low,Carga de la batería baja
Battery fully re-charged,Batería recargada completamente
Charpicker Applet Factory,Fábrica para miniaplicación selector de caracteres
Character Palette,Paleta de caracteres
Insert characters,Insertar caracteres
Available palettes,Paletas disponiblesPILCROW SIGN
"Insert ""%s""",Insertar «%s»
Insert special character,Insertar carácter especial
insert special character %s,insertar carácter especial %s
Gnome Panel applet for selecting strange characters that are not on my keyboard. Released under GNU General Public Licence.,Miniaplicación del panel de GNOME para seleccionar caracteres que no están en el teclado. Distribuido bajo la Licencia Pública General GNU.
DEPRECATED - Characters shown on applet startup,OBSOLETO - Caracteres mostrados al iniciar la miniaplicación
Characters shown on applet startup,Caracteres mostrados al iniciar la miniaplicación
The string that the user had selected when the applet was last used. This string will be displayed when the user starts the applet.,La cadena que el usuario había seleccionado cuando se usó la miniaplicación por última vez. Esta cadena se mostrará cuando el usuario inicie la miniaplicación.
List of available palettes,Lista de paletas disponibles
List of strings containing the available palettes.,Lista de cadenas que contienen las paletas disponibles.
Edit,Editar
Palette:,Paleta:
Palette entry,Entrada de paleta
Modify a palette by adding or removing characters,Modificar una paleta añadiendo o quitando caracteres
Add Palette,Añadir paleta
Edit Palette,Editar la paleta
Palettes list,Lista de paletas
Palettes:,Paletas:
Add button,Botón «Añadir»
Click to add a new palette,Pulse para añadir una paleta nueva
Edit button,Botón «Editar»
Click to edit the selected palette,Pulse para editar la paleta seleccionada
Delete button,Botón «Borrar»
Click to delete the selected palette,Pulse para borrar la paleta seleccionada
Character Palette Preferences,Preferencias de la paleta de caracteres
CPU Frequency Scaling Monitor,Monitor de frecuencia de la CPU
Monitor the CPU Frequency Scaling,Monitoriza el escalado de frecuencia de la CPU
CPU to Monitor,CPU que monitorizar
Set the CPU to monitor. In a single processor system you don't have to change it.,"Establece la CPU que monitorizar. En un sistema monoprocesador, no tiene que cambiarlo."
Mode to show cpu usage,Modo para mostrar el uso de la CPU
"A 0 value means to show the applet in graphic mode (pixmap only), 1 to show the applet in text mode (not to show the pixmap) and 2 to show the applet in graphic and text mode.","Un valor de 0 significa mostrar la miniaplicación en modo gráfico (sólo pixmap), 1 mostrar la miniaplicación en modo texto (no mostrar el pixmap) y 2 mostrar la miniaplicación en modo gráfico y texto."
The type of text to display (if the text is enabled).,El tipo de texto a mostrar (si el texto está activado).
"A 0 value means to show cpu frequency, 1 to show frequency and units, and 2 to show percentage instead of frequency.","Un valor 0 significa mostrar la frecuencia de la CPU, 1 mostrar la frecuencia y las unidades y 2 mostrar un porcentaje en vez de la frecuencia."
CPU Frequency Monitor Preferences,Preferencias del monitor de frecuencia de la CPU
Monitor Settings,Configuración del monitor
Monitored CPU:,CPU monitorizada:
Display Settings,Configuración del visor
Appearance:,Apariencia:
Show CPU frequency as frequency,Mostrar la frecuencia de la CPU como frecuencia
Show frequency units,Mostrar las unidades de la frecuencia
Show CPU frequency as percentage,Mostrar la frecuencia de la CPU como porcentaje
Could not open help document,No se pudo abrir el documento de ayuda
This utility shows the current CPU Frequency Scaling.,Esta utilidad muestra el estado actual del escalado de frecuencia de la CPU.
This utility shows the current CPU Frequency,Esta utilidad muestra la frecuencia actual de la CPU
Graphic,Gráfico
Text,Texto
Graphic and Text,Gráfico y texto
Frequency Scaling Unsupported,Sin soporte para escalado de frecuencia
CPU frequency scaling unsupported,Escalado de frecuencia de la CPU no soportado
You will not be able to modify the frequency of your machine. Your machine may be misconfigured or not have hardware support for CPU frequency scaling.,No podrá modificar la frecuencia de su máquina. Su máquina puede estar mal configurada o no tener soporte hardware para el escalado de frecuencia de la CPU.
Change CPU Frequency scaling,Cambiar la frecuencia de escalado de la CPU
Privileges are required to change the CPU Frequency scaling.,Se necesitan privilegios para cambiar la frecuencia de escalado de la CPU
Drive Mount Applet Factory,Fábrica de la miniaplicación montador de discos
Factory for drive mount applet,Fábrica para la miniaplicación montador de discos
Disk Mounter,Montador de discos
Mount local disks and devices,Monta dispositivos y discos locales
(mounted),(montado)
(not mounted),(desmontado)
Cannot execute '%s',No se puede ejecutar «%s»
Play DVD,Reproducir DVD
Play CD,Reproducir CD
Open %s,Abrir %s
Unmount %s,Desmontar %s
Mount %s,Montar %s
Eject %s,Expulsar %s
Applet for mounting and unmounting block volumes.,Miniaplicación para montar y desmontar volúmenes de bloques.
Interval timeout to check mount point status,Intervalo del tiempo de espera para comprobar el estado de los puntos de montaje
Time in seconds between status updates,Tiempo en segundos entre las actualizaciones del estado
Geyes Applet Factory,Fábrica de la miniaplicación Geyes
Eyes,Ojos
A set of eyeballs for your panel,Un conjunto de globos oculares para su panel
A goofy set of eyes for the GNOME panel. They follow your mouse.,Un juego de ojos para el panel de GNOME. Siguen el movimiento del ratón.
The eyes look in the direction of the mouse pointer,Los ojos miran en la dirección del puntero del ratón
Directory in which the theme is located,Directorio en el cual se encuentra situado el tema
Can not launch the eyes applet.,No se puede lanzar la miniaplicación Geyes.
There was a fatal error while trying to load the theme.,Hubo un error fatal al intentar cargar el tema.
Geyes Preferences,Preferencias de Geyes
Themes,Temas
Select a theme:,Seleccione un tema:
Generic Keyboard,Teclado genérico
Arabic keymap,Mapa de teclado árabe
Armenian,Armenio
Basque,Vasco
Belgian,Belga
Bulgarian keymap,Mapa de teclado búlgaro
Brazil Portuguese keymap,Mapa de teclado portugués brasileño
Bulgarian Cyrillic,Búlgaro cirílico
Swiss keymap,Mapa de teclado suizo
Czech keymap,Mapa de teclado checo
German keymap,Mapa de teclado alemán
Danish keymap,Mapa de teclado danés
Estonian keymap,Mapa de teclado estonio
Spanish keymap,Mapa de teclado español
Finnish keymap,Mapa de teclado finlandés
French Swiss,Suizo francés
French-Canadian 105-key,Mapa de teclado francés-canadiense 105 teclas
French Swiss keymap,Mapa de teclado suizo francés
French keymap,Mapa de teclado francés
GB 102-key,GB 102 teclas
English keymap,Mapa de teclado inglés
GB 105-key,GB 105 teclas
Georgian keymap,Mapa de teclado georgiano
Georgian Latin,Georgiano latino
Georgian Russian layout,Distribución georgiano rusa
German,Alemán
German Swiss with Euro,Alemán suizo con Euro
Greek keymap,Mapa de teclado griego
Hungarian 101-key latin 1,Húngaro 101 teclas latino 1
Hungarian latin1,Húngaro latino 1
Hungarian 101-key latin 2,Húngaro 101 teclas latino 2
Hungarian 105-key latin 2,Húngaro 105 teclas latino 2
Hungarian 105-key latin 1,Húngaro 105 teclas latino 1
Sun (!not PC!) type5 Hungarian latin 2,Sun (no PC) húngaro Tipo5 latino 2
Hungarian PC/AT 101 keyboard,Teclado húngaro PC/AT 101
Hebrew keymap,Mapa de teclado hebreo
Icelandic keymap,Mapa de teclado islandés
Italian keymap,Mapa de teclado italiano
Japanese keymap,Mapa de teclado japonés
Lao keymap,Mapa de teclado laosiano
Lithuanian keymap,Mapa de teclado lituano
Macedonian,Macedonio
Dutch keymap,Mapa de teclado holandés
Norwegian,Noruego
Polish deadkeys,Teclas muertas del polaco
Polish,Polaco
Portugal Deadkeys,Teclas muertas portugués
Portugal,Portugal
Portuguese keymap,Mapa de teclado portugués
Russian keymap,Mapa de teclado ruso
Plain Russian keymap,Mapa de teclado ruso plano
Russian Cyrillic,Ruso cirílico
Swedish keymap,Mapa de teclado sueco
Slovenian keymap,Mapa de teclado esloveno
Slovak keymap,Mapa de teclado eslovaco
Slovenian,Esloveno
Swedish,Sueco
Thai,Tailandés
Thai Kedmanee,Tailandés Kedmanee
Thai keymap,Mapa de teclado tailandés
"Turkish ""F"" keyboard",Teclado turco «F»
"Turkish ""Q"" keyboard",Teclado turco «Q»
Turkish keymap,Mapa de teclado turco
UK 105-key,Mapa de teclado Reino Unido 105-teclas
UK PC/AT keyboard,Reino Unido PC/AT
US PC/AT 101 keyboard,Estadounidense PC/AT 101
US 101-key keyboard,Estadounidense de 101 teclas
US 84-key,Estadounidense de 84 teclas
US DEC 450,Estadounidense DEC 450
US IBM RS/6000,Estadounidense IBM RS/6000
US International,Estadounidense internacional
US 105-key keyboard (with windows keys),Estadounidense de 105 teclas (con teclas Windows)
US Macintosh,Estadounidense Macintosh
US Silicon Graphics 101-key,Estadounidense Silicon Graphics 101-teclas
US Sun type5,Estadounidense Sun tipo 5
Serbian keymap,Mapa de teclado servio
Mongolian alt keymap,Mapa de teclado mongol alt
Mongolian phonetic keymap,Mapa de teclado mongol fonético
Mongolian keymap,Mapa de teclado mongol
Layout shift behavior,Comportamiento del cambio de distribución
Right Alt key changes layout.,La tecla Alt derecha cambia la distribución.
Left Alt key changes layout.,La tecla Alt izquierda cambia la distribución.
CapsLock key changes layout.,La tecla Bloq Mayús. cambia la distribución.
Shift+CapsLock changes layout.,Mayús+Bloq Mayús cambia la distribución.
Both Shift keys together change layout.,Ambas teclas Mayús. juntas cambian la distribución.
Both Alt keys together change layout.,Ambas teclas Alt juntas cambian la distribución.
Both Ctrl keys together change layout.,Ambas teclas Ctrl juntas cambian la distribución.
Control+Shift changes layout.,Control+Mayús. cambia la distribución.
Alt+Control changes layout.,Alt+Control cambia la distribución.
Alt+Shift changes layout.,Alt+Mayús. cambia la distribución.
Menu key changes layout.,La tecla Menú cambia la distribución.
Left Win-key changes layout.,La tecla Win izquierda cambia la distribución.
Right Win-key changes layout.,La tecla Win derecha cambia la distribución.
Left Shift key changes group.,La tecla Mayús izquierda cambia el grupo.
Right Shift key changes group.,La tecla Mayús derecha cambia el grupo.
Left Ctrl key changes group.,La tecla Ctrl izquierda cambia el grupo.
Right Ctrl key changes group.,La tecla Ctrl derecha cambia el grupo.
Armenian Sun keymap,Mapa de teclado armenio de Sun
Azerbaijani Turkish Sun keymap,Mapa de teclado turco azerbaijaní de Sun
Dutch Sun keymap,Mapa del teclado holandés de Sun
Bulgarian Sun keymap,Mapa de teclado búlgaro de Sun
Brazil Portuguese Sun USB keymap,Mapa de teclado portugués brasileño USB de Sun
Brazil Portuguese Sun keymap,Mapa de teclado portugués brasileño de Sun
Belarusian Sun keymap,Mapa de teclado bielorruso de Sun
Canadian Sun keymap,Mapa de teclado canadiense de Sun
Swiss German Sun keymap,Mapa de teclado suizo alemán de Sun
Czech Sun keymap,Mapa de teclado checo de Sun
German Sun Type-4 keymap,Mapa de teclado alemán Type 4 de Sun
German Sun USB keymap,Mapa de teclado alemán USB de Sun
German Sun keymap,Mapa de teclado alemán de Sun
Danish Sun Type-4 keymap,Mapa de teclado danés Type 4 de Sun
Danish Sun USB keymap,Mapa de teclado danés USB
Danish Sun keymap,Mapa de teclado danés de Sun
Estonian Sun keymap,Mapa de teclado estonio de Sun
Spanish Sun Type-4 keymap,Mapa de teclado español Type 4 de Sun
Spanish Sun USB keymap,Mapa de teclado español USB de Sun
Spanish Sun keymap,Mapa de teclado español de Sun
Finnish Sun keymap,Mapa de teclado finlandés de Sun
French Sun USB keymap,Mapa de teclado francés USB de Sun
French Sun keymap,Mapa de teclado francés de Sun
British Sun Type-4 keymap,Mapa de teclado británico Type 4 de Sun
British Sun USB keymap,Mapa de teclado británico USB Sun
British Sun keymap,Mapa de teclado británico de Sun
Hungarian latin2 Sun keymap,Mapa de teclado húngaro latino2 de Sun
Hungarian type5 latin 1 keymap,Mapa de teclado húngaro Type 5 latino1
Hebrew Sun keymap,Mapa de teclado hebreo de Sun
Icelandic Sun keymap,Mapa de teclado islandés de Sun
Italian Sun Type-4 keymap,Mapa de teclado Type-4 de Sun
Italian Sun USB keymap,Mapa de teclado italiano USB de Sun
Italian Sun keymap,Mapa de teclado italiano de Sun
Japanese Sun Type-4 keymap,Mapa de teclado japonés Type-4 de Sun
Japanese Sun keymap,Mapa de teclado japonés de Sun
Lithuanian Sun keymap,Mapa de teclado lituano de Sun
Latvian Sun keymap,Mapa de teclado letón de Sun
Macedonian Sun keymap,Mapa de teclado macedonio de Sun
Norwegian Sun keymap,Mapa de teclado noruego de Sun
Polish Sun keymap,Mapa de teclado polaco de Sun
Portuguese Sun Type-4 keymap,Mapa de teclado portugués Type 4 de Sun
Portuguese Sun keymap,Mapa de teclado portugués de Sun
Romanian Sun keymap,Mapa de teclado rumano de Sun
Russian Sun keymap,Mapa de teclado ruso de Sun
Swedish Sun Type-4 keymap,Mapa de teclado sueco Type 4 de Sun
Swedish Sun USB keymap,Mapa de teclado sueco USB de Sun
Swedish Sun keymap,Mapa de teclado sueco de Sun
Slovenian Sun keymap,Mapa de teclado esloveno de Sun
Slovak Sun keymap,Mapa de teclado eslovaco de Sun
Serbian Sun standard keymap,Mapa de teclado servio estándar de Sun
Thai Sun keymap,Mapa de teclado tailandés de Sun
Turkish Sun keymap,Mapa de teclado turco de Sun
Ukrainian Sun keymap,Mapa de teclado ucraniano de Sun
US Sun type5 keymap,Mapa de teclado estadounidense Tipo 5 de Sun
US Sun Type-4 keymap,Mapa de teclado estadounidense Tipo4 de Sun
US Sun USB keymap,Mapa de teclado estadounidense USB de Sun
Vietnamese Sun keymap,Mapa de teclado vietnamita de Sun
Groups,Grupos
Keyboard Preferences,Preferencias del teclado
Show Current Layout,Mostrar distribución actual
Plugins,Complementos
Keyboard applet factory,Fábrica de la miniaplicación del teclado
Keyboard Indicator,Indicador del teclado
Keyboard layout indicator,Indicador de distribución del teclado
Unknown,Desconocido
"Keyboard Layout ""%s""",Distribución del teclado «%s»
Copyright (c) Sergey V. Udaltsov 1999-2004,Copyright © Sergey V. Udaltsov 1999-2004
Keyboard layout indicator applet for GNOME,Indicador de la distribución del teclado para GNOME
Keyboard Indicator (%s),Indicador del teclado (%s)
Keyboard Layout,Distribución del teclado
Details,Detalles
Update,Actualizar
Gweather Applet Factory,Fábrica de la miniaplicación GWeather
Factory for creating the weather applet.,Fábrica para crear la miniaplicación de meteorología.
Weather Report,Informe meteorológico
"Monitor the current weather conditions, and forecasts",Monitoriza la condiciones meteorológicas actuales y los pronósticos
© 1999-2005 by S. Papadimitriou and others,Copyright © 1999-2005 por S. Papadimitriou y otros
A panel application for monitoring local weather conditions.,Una aplicación del panel para monitorizar la meteorología local.
GNOME Weather,Meteorología de GNOME
Weather Forecast,Previsión meteorológica
City: %s Sky: %s Temperature: %s,Ciudad: %s Cielo: %s Temperatura: %s
Updating...,Actualizando…
City:,Ciudad:
Last update:,Última actualización:
Conditions:,Condiciones:
Sky:,Cielo:
Temperature:,Temperatura:
Feels like:,Sensación térmica:
Dew point:,Punto de condensación:
Relative humidity:,Humedad relativa:
Wind:,Viento:
Pressure:,Presión atmosférica:
Visibility:,Visibilidad:
Sunrise:,Amanecer:
Sunset:,Ocaso:
Current Conditions,Condiciones actuales
Forecast Report,Informe del pronóstico
See the ForeCast Details,Ver los detalles del pronóstico
Forecast,Pronóstico
Radar Map,Mapa de radar
Visit Weather.com,Visitar weather.com
Click to Enter Weather.com,Pulse para entrar en Weather.com
Forecast not currently available for this location.,Pronóstico no disponible actualmente para este lugar.
Location view,Vista de la zona
Select Location from the list,Seleccione una zona de la lista
Update spin button,Botón de intervalo de actualización
Spinbutton for updating,Botón para la actualizar
Address Entry,Dirección
Enter the URL,Introduzca el URL
Failed to load the Locations XML database. Please report this as a bug.,Falló al cargar la base de datos XML de zonas. Informe de esto como un fallo.
Weather Preferences,Preferencias de meteorología
Automatically update every:,Actualizar automáticamente cada:
Temperature unit:,Unidad de temperatura:
Default,Predeterminado
Kelvin,Kelvin
Celsius,Centígrados
Fahrenheit,Fahrenheit
Wind speed unit:,Unidad de velocidad del viento:meters per second
m/s,m/skilometers per hour
km/h,Km/hmiles per hour
mph,mphknots
knots,nudos
Beaufort scale,Escala Beaufort
Pressure unit:,Unidad de presión atmosférica:kiloPascals
kPa,kPahectoPascals
hPa,hPamillibars
mb,mbmillibars of mercury
mmHg,mmHginches of mercury
inHg,inHgatmospheres
Visibility unit:,Unidad de visibilidad:meters
meters,metroskilometers
km,Kmmiles
miles,millas
Enable radar map,Activar el mapa de radar
Use custom address for radar map,Usar dirección personalizada para el mapa de radar
Address:,Direcciones:
minutes,minutos
Display,Visor
General,General
Select a location:,Seleccione una zona:
Find:,Buscar:
Find Next,Buscar siguiente
Location,Zona
Invest,Inversiones
Track your invested money.,Seguimiento de inversiones.
Refresh,Refrescar
Financial Chart,Gráfica financiera
Ticker symbol:,Símbolo del ticker:
Auto refresh,Autorefrescar
Graph style:,Estilo de la gráfica:
Moving average:,Movimiento promedio:
Exponential moving average:,Media de movimiento exponencial:
Overlays:,Overlays:
Bollinger,Bollinger
Splits,Splits
Volumes,Volúmenes
Indicators:,Indicadores:
Slow stoch,Slow stoch
Vol+MA,Vol+MA
Fast stoch,Fast stoch
MACD,MACD
Options,Opciones
Downloading chart from Yahoo!,Descargando gráfica desde Yahoo!
Invest Preferences,Preferencias de Invest
label,etiqueta
Stocks,Cotizaciones
Note: Quotes are delayed at least 15 minutes. Source: Yahoo!,Nota: Las cotizaciones están retrasadas al menos 15 minutos. Fuentes: Yahoo!
You have not entered any stock information yet,Aún no ha introducido ninguna información de acciones
No stock quotes are currently available,Actualmente no hay disponible ninguna cotización de acciones
The server could not be contacted. The computer is either offline or the servers are down. Try again later.,No se pudo contactar con el servidor. El equipo está apagado o los servidores están caídos. Pruebe de nuevo más tarde.
Financial Chart - %s,Gráfica financiera - %s
Opening Chart,Abriendo gráfica
Chart downloaded,Gráfica descargada
Chart could not be downloaded,No se pudo descargar la gráfica
Invest Applet,Miniaplicación de inversiones
Symbol,Símbolo
Label,etiqueta
Amount,Cantidad
Price,Precio
Commission,Comisión
Invest could not connect to Yahoo! Finance,Inversiones no pudo conectar con Yahoo! Finance
Updated at %s,Actualizado el %s
Quotes average change %%: %+.2f%%,Cambio promedio de las acciones %%: %+.2f%%
Positions balance: %+.2f,Balance de las posiciones: %+.2flast price
Ticker,Indicador
Last,Último
Change %,Cambio %
Chart,Gráfica
Gain,Ganancia
Gain %,Ganancia %
Deskbar (formerly Mini-Commander),Deskbar (anterior Mini-Commander)
Deskbar (transparent upgrade from Mini-Commander),Barra de escritorio (actualización transparente de Mini-Commander)
MiniCommander Applet Factory,Fábrica de la miniaplicación Mini-Commander
Command Line,Línea de comandos
Mini-Commander,Mini-Commander
"This GNOME applet adds a command line to the panel. It features command completion, command history, and changeable macros.","Esta miniaplicación de GNOME añade una línea de comandos al panel. Tiene completado de comandos, histórico de comandos, y macros cambiables."
No items in history,Histórico vacío
Start program,Lanzar el programa
Command line,Línea de comandos
Type a command here and Gnome will execute it for you,Escriba un comando aquí y GNOME lo ejecutará por usted
Cannot get schema for %s: %s,No se puede obtener el esquema para %s: %s
Cannot set schema for %s: %s,No se puede establecer el esquema para %s: %s
Set default list value for %s,Establecer el valor predeterminado de lista para %s
"GCONFDISABLEMAKEFILESCHEMAINSTALL is set, not installing schemas","GCONFDISABLEMAKEFILESCHEMAINSTALL está activado, no se están instalando esquemas"
Must set the GCONFCONFIGSOURCE environment variable,Debe asignar la variable de entorno GCONFCONFIGSOURCE
Failed to access configuration source(s): %s,Falló al acceder a las fuentes de configuración: %s
Error syncing config data: %s,Error al sincronizar los datos de configuración: %s
Macro pattern list,Lista de patrones de macro
List of GConfValue entries containing strings for the macro patterns.,Lista de entradas de GConfValue que contienen cadenas para los patrones de macro.
Macro command list,Lista de comandos de macro
List of GConfValue entries containing strings for the macro commands.,Lista de entradas de GConfValue que contienen cadenas para los comandos de macro.
Command Line Preferences,Preferencias de línea de comandos
Auto Completion,Autocompletado
Enable history-based auto completion,Activar autocompletado basado en histórico
Width:,Anchura:
pixels,píxeles
Colors,Colores
Use default theme colors,Usar los colores predeterminados del tema
Command line foreground:,Color de la tipografía:
Command line background:,Color del fondo:
Pick a color,Escoja un color
Macros:,Macros:
Add Macro...,Añadir macro…
Delete Macro,Borrar macro
Macros,Macros
Add New Macro,Añadir una macro nueva
Pattern:,Patrón:
Command:,Comando:
Show handle,Mostrar el tirador
Show a handle so the applet can be detached from the panel.,Mostrar un tirador para que la miniaplicación pueda desprenderse del panel.
Show frame,Mostrar el marco
Show a frame surrounding the applet.,Mostrar un marco alrededor de la miniaplicación.
Perform history autocompletion,Realizar autocompletado mediante histórico
Attempt to autocomplete a command from the history of commands entered.,Intenta autocompletar un comando desde el historial de comandos introducidos.
Width,Anchura
Width of the applet,Anchura de la miniaplicación
Not used anymore,Ya no se utiliza
Use the default theme colors,Usar los colores del tema predeterminado
Use theme colors instead of custom ones.,Usa los colores del tema en lugar de los personalizados.
"Foreground color, red component","Color de tipografía, componente rojo"
The red component of the foreground color.,El componente rojo del color de frente.
"Foreground color, green component","Color de tipografía, componente verde"
The green component of the foreground color.,El componente verde del color de frente.
"Foreground color, blue component","Color de tipografía, componente azul"
The blue component of the foreground color.,El componente azul del color de frente.
"Background color, red component","Color del fondo, componente roja"
The red component of the background color.,El componente rojo del color de fondo.
"Background color, green component","Color del fondo, componente verde"
The green component of the background color.,El componente verde del color de fondo.
"Background color, blue component","Color del fondo, componente azul"
The blue component of the background color.,El componente azul del color de fondo.
History list,Lista del histórico
List of GConfValue entries containing strings for history entries.,Lista de entradas de GConfValue que contienen cadenas para las entradas históricas.
"This per-applet key is deprecated in favour of the global key, /schemas/apps/mini-commander-global/macropatterns.","Esta clave por miniaplicación se ha declarado obsoleta en favor de la clave global, /schemas/apps/mini-commander-global/macropatterns."
Browser,Navegador
Click this button to start the browser,Pulse sobre este botón para iniciar el navegador
History,Histórico
Click this button for the list of previous commands,Pulse sobre este botón para la lista de comandos anteriores
Command line has been disabled by your system administrator,La línea de comandos ha sido desactivada por su administrador del sistema
Mini-Commander applet,Miniaplicación Mini-Commander
This applet adds a command line to the panel,Esta miniaplicación añade una línea de comandos al panel
You must specify a pattern,Debe especificar un patrón
You must specify a pattern and a command,Debe especificar un patrón y un comando
You must specify a command,Debe especificar un comando
You may not specify duplicate patterns,No puede especificar patrones duplicados
Pattern,Patrón
Command,Comando
Volume Control,Control de volumen
Adjust the sound volume,Ajusta el volumen del sonido
Mute,Silenciar
Open Volume Control,Abrir el control de volumen
Volume Applet,Miniaplicación del volumen
"The volume control did not find any elements and/or devices to control. This means either that you don't have the right GStreamer plugins installed, or that you don't have a sound card configured.",El control de volumen no encontró ningún elemento y/o dispositivo que controlar. Esto significa que no tiene los complementos correctos de GStreamer instalados o que no tiene una tarjeta de sonido configurada.
"You can remove the volume control from the panel by right-clicking the speaker icon on the panel and selecting ""Remove From Panel"" from the menu.",Puede quitar el control de volumen del panel pulsando con el botón derecho sobre el icono del altavoz en el panel y seleccionando «Quitar del panel» del menú.
Failed to start Volume Control: %s,Falló al iniciar el control de volumen: %s
%s: muted,%s: silenciado
%s: %d%%,%s: %d%%
Failed to display help: %s,Falló al mostrar la ayuda: %s
Volume control for your GNOME Panel.,Control de volumen para su panel de GNOME.
Using GStreamer 0.10.,Usando GStreamer 0.10.
Volume Control...,Control de volumen...
Unknown Volume Control %d,Control de volumen desconocido %d
Channel controlled by applet. Only for OSS setups,Canal controlado por la miniaplicación. Sólo para configuraciones de OSS
Saved mute state,Estado de silencio guardado
Saved volume to restore on startup,Volumen guardado para restaurar durante el inicio
